type_specifier/INT (Col:4,Ln:1) 0
declaration_specifiers/type_specifier (Col:6,Ln:1) 1
direct_declarator/IDENTIFIER (Col:6,Ln:1) 2
declarator/direct_declarator (Col:7,Ln:1) 3
init_declarator/declarator (Col:7,Ln:1) 4
init_declarator_list/init_declarator (Col:7,Ln:1) 5
declaration/declaration_specifiers init_declarator_list ';' (Col:7,Ln:1) 6
external_declaration/declaration (Col:7,Ln:1) 7
translation_unit/external_declaration (Col:7,Ln:1) 8

